relpath	model	note
web/assets/cg/cg_dawn_kiss.png	gpt-image-2	
web/assets/cg/cg_demon_embrace.png	gpt-image-2	
web/assets/cg/cg_demon_kiss.png	nano-banana-pro	二次增强img2img,底图gpt-image-2
web/assets/cg/cg_demon_shadow.png	gpt-image-2	
web/assets/cg/cg_duel_clash.png	gpt-image-2	
web/assets/cg/cg_ear_closeup.png	gpt-image-2	
web/assets/cg/cg_end_arena.png	gpt-image-2	
web/assets/cg/cg_end_ash.png	gpt-image-2	
web/assets/cg/cg_end_demon.png	gpt-image-2	
web/assets/cg/cg_end_leave.png	gpt-image-2	
web/assets/cg/cg_end_refuse.png	gpt-image-2	
web/assets/cg/cg_end_sleep.png	gpt-image-2	
web/assets/cg/cg_end_true.png	gpt-image-2	
web/assets/cg/cg_envoy_strike.png	gpt-image-2	
web/assets/cg/cg_fever_care.png	gpt-image-2	
web/assets/cg/cg_first_form.png	gpt-image-2	
web/assets/cg/cg_first_kiss.png	gpt-image-2	
web/assets/cg/cg_gather.png	gpt-image-2	
web/assets/cg/cg_hidden_win.png	gpt-image-2	
web/assets/cg/cg_insight_lake.png	gpt-image-2	
web/assets/cg/cg_lake_wet.png	gpt-image-2	
web/assets/cg/cg_lap_feed.png	gpt-image-2	
web/assets/cg/cg_leave_bath.png	gpt-image-2	
web/assets/cg/cg_leave_dawn.png	gpt-image-2	
web/assets/cg/cg_leave_drunk.png	gpt-image-2	
web/assets/cg/cg_leave_quilt.png	gpt-image-2	
web/assets/cg/cg_liu_kneel.png	gpt-image-2	
web/assets/cg/cg_moon_reveal.png	gpt-image-2	
web/assets/cg/cg_morning_after.png	gpt-image-2	
web/assets/cg/cg_morning_dress.png	gpt-image-2	
web/assets/cg/cg_panel_truth.png	gpt-image-2	
web/assets/cg/cg_peek_splash.png	gpt-image-2	
web/assets/cg/cg_reforge_close.png	nano-banana-pro	二次增强img2img,底图gpt-image-2
web/assets/cg/cg_refuse_dream.png	gpt-image-2	
web/assets/cg/cg_refuse_warm.png	gpt-image-2	
web/assets/cg/cg_rooftop.png	gpt-image-2	
web/assets/cg/cg_sleep_kiss.png	gpt-image-2	
web/assets/cg/cg_sleep_lap.png	gpt-image-2	
web/assets/cg/cg_sleep_warm.png	gpt-image-2	
web/assets/cg/cg_spring.png	nano-banana-pro	二次增强img2img,底图gpt-image-2
web/assets/cg/cg_stairs.png	gpt-image-2	
web/assets/cg/cg_steady_hand.png	gpt-image-2	
web/assets/cg/cg_stump_cut.png	gpt-image-2	
web/assets/cg/cg_sword_sea.png	gpt-image-2	
web/assets/cg/cg_sword_sleep.png	gpt-image-2	
web/assets/cg/cg_sword_tomb.png	gpt-image-2	
web/assets/cg/cg_tail_groom.png	gpt-image-2	
web/assets/cg/cg_tomb_bow.png	gpt-image-2	
web/assets/cg/cg_true_bath.png	gpt-image-2	
web/assets/cg/cg_true_carry.png	gpt-image-2	
web/assets/cg/cg_true_dress.png	gpt-image-2	
web/assets/cg/cg_true_night.png	gpt-image-2	
web/assets/cg/cg_true_veil.png	gpt-image-2	
web/assets/cg/cg_wanjian.png	gpt-image-2	
web/assets/characters/cat_alert.png	gpt-image-2	
web/assets/characters/cat_normal.png	gpt-image-2	
web/assets/characters/cat_sad.png	gpt-image-2	
web/assets/characters/gu_calm.png	gpt-image-2	
web/assets/characters/gu_mad.png	gpt-image-2	
web/assets/characters/liu_shock.png	gpt-image-2	
web/assets/characters/liu_stern.png	gpt-image-2	
web/assets/characters/liu_warm.png	gpt-image-2	
web/assets/characters/shen_proud.png	gpt-image-2	
web/assets/characters/shen_resolve.png	gpt-image-2	
web/assets/characters/shen_shock.png	gpt-image-2	
web/assets/characters/soya_blush.png	gpt-image-2	
web/assets/characters/soya_calm.png	gpt-image-2	
web/assets/characters/soya_fade.png	gpt-image-2	
web/assets/characters/soya_joy.png	gpt-image-2	
web/assets/characters/soya_pout.png	gpt-image-2	
web/assets/characters/soya_shock.png	gpt-image-2	
web/assets/characters/soya_smile.png	gpt-image-2	
web/assets/characters/soya_tear.png	gpt-image-2	
web/assets/characters/xuanyi_cruel.png	gpt-image-2	
web/assets/characters/xuanyi_polite.png	gpt-image-2	
web/assets/characters/zhao_beaten.png	gpt-image-2	
web/assets/characters/zhao_smug.png	gpt-image-2	
web/assets/characters/zhou_smile.png	gpt-image-2	
web/assets/characters/zhou_worry.png	gpt-image-2	
web/assets/ui/title_keyvisual.png	gpt-image-2	
web/assets/characters/qian_fawn.png	gpt-image-2	
web/assets/characters/qian_fear.png	gpt-image-2	
web/assets/characters/qian_resolve.png	gpt-image-2	
web/assets/cg/cg_qian_inform.png	gpt-image-2	
web/assets/cg/cg_qian_roster.png	gpt-image-2	
web/assets/cg/cg_qian_last.png	gpt-image-2	
web/assets/cg/cg_gu_seed.png	gpt-image-2	
web/assets/cg/cg_lap_ear.png	gpt-image-2	
web/assets/cg/cg_hair_dry.png	gpt-image-2	
web/assets/characters/luo_joy.png	gpt-image-2	
web/assets/cg/cg_share_quilt.png	gpt-image-2	
web/assets/cg/cg_tipsy_cling.png	gpt-image-2	
web/assets/characters/luo_cry.png	gpt-image-2	
web/assets/cg/cg_kowtow.png	gpt-image-2	
web/assets/cg/cg_kick.png	gpt-image-2	
web/assets/cg/cg_betrayal.png	gpt-image-2	
web/assets/cg/cg_guard_death.png	gpt-image-2	
web/assets/cg/cg_nightmare.png	gpt-image-2	
web/assets/cg/cg_spare_vessel.png	gpt-image-2	
web/assets/cg/cg_shen_fall.png	gpt-image-2	
web/assets/cg/cg_liu_legacy.png	gpt-image-2	
web/assets/cg/cg_xuanyi_break.png	gpt-image-2	
web/assets/cg/cg_zhou_carry.png	gpt-image-2	
web/assets/cg/cg_luo_altar.png	gpt-image-2	
web/assets/cg/cg_gu_release.png	gpt-image-2	
web/assets/cg/cg_king_dawn.png	gpt-image-2	
web/assets/cg/cg_shen_kneel.png	gpt-image-2	
web/assets/cg/cg_zhou_vigil.png	gpt-image-2	
web/assets/cg/cg_luo_wall.png	gpt-image-2	
web/assets/cg/cg_liu_fire.png	gpt-image-2	
web/assets/cg/cg_xuanyi_village.png	gpt-image-2	
web/assets/cg/cg_qian_starve.png	gpt-image-2	
web/assets/cg/cg_shen_grave.png	gpt-image-2	
web/assets/cg/cg_liu_lantern.png	gpt-image-2	
web/assets/cg/cg_xuanyi_bow.png	gpt-image-2	
web/assets/cg/cg_qian_grave.png	gpt-image-2	
web/assets/cg/cg_zhou_bowl.png	gpt-image-2	
web/assets/cg/cg_luo_bury.png	gpt-image-2	
web/assets/cg/cg_gu_descend.png	gpt-image-2	
web/assets/cg/cg_zhou_bun.png	gpt-image-2	
web/assets/cg/cg_zhou_yam.png	gpt-image-2	
web/assets/cg/cg_moon_vow.png	gpt-image-2	
web/assets/cg/cg_cliff_shen.png	gpt-image-2	
web/assets/cg/cg_shen_whip.png	gpt-image-2	
web/assets/cg/cg_golden_date.png	gpt-image-2	
web/assets/cg/cg_seal_cry.png	gpt-image-2	
web/assets/cg/cg_vote_betray.png	gpt-image-2	
web/assets/cg/cg_forget.png	gpt-image-2	
web/assets/cg/cg_empty_tomb.png	gpt-image-2	
web/assets/cg/cg_gu_crack.png	gpt-image-2	
web/assets/cg/cg_flash_yandere.png	gpt-image-2	
